data,method,tuned_alpha,untuned_alpha
adult,CTGAN,0.3946118225488008,0.3683938741276445
adult,CopulaGAN,0.19474685608187453,0.17718226622734676
adult,Gaussian Copula,0.2020276559488498,0.22396326899574212
adult,TVAE,0.2086136654204748,0.23046059064926644
balanced_credit_card,CTGAN,0.0788962207571403,0.034417781901686276
balanced_credit_card,CopulaGAN,0.07761099453504651,0.08091659489347311
balanced_credit_card,Gaussian Copula,0.28143516218782133,0.33174513280627155
balanced_credit_card,TVAE,0.5620576225199918,0.5529204903985689
encoded_adult,CTGAN,0.33661926773328193,0.23707082581661795
encoded_adult,CopulaGAN,0.07455832067546038,0.19330866554143197
encoded_adult,Gaussian Copula,0.2751550117137034,0.34071732784594205
encoded_adult,TVAE,0.31366739987755415,0.22890318079600788
unbalanced_credit_card,CTGAN,0.2224901180439407,0.2567086245745346
unbalanced_credit_card,CopulaGAN,0.027368607108464997,0.01319196465356004
unbalanced_credit_card,Gaussian Copula,0.5358227695064566,0.5932414875214258
unbalanced_credit_card,TVAE,0.2143185053411376,0.1368579232504795
